"  Natural Resources Canada, Geological Survey of Canada, Geoscience Data Repository, BASIN Database"											
"Date: August 20, 2026, 5:02 pm ADT"											
											
Well Name	Basin	Subbasin	Latitude (NAD27)	Longitude (NAD27)	Northing (NAD27)	Easting (NAD27)	Latitude (NAD83)	Longitude (NAD83)	Northing (NAD83)	Easting (NAD83)	Zone (UTM)
COHASSET L-97	SCOTIAN BASIN	LAHAVE PLATFORM	43.94366	-60.4996	4868439	700665	43.943736	-60.498847	4868665	700720	20
COHASSET P-42	SCOTIAN BASIN	LAHAVE PLATFORM	43.86398	-60.60506	4859338	692458	43.86405	-60.604317	4859563	692512	20
COLLINGWOOD K-33	SVERDRUP BASIN		76.54575	-108.724307	8497078	559094	76.546527	-108.726529	8497309	559031	20
COMO P-21	SCOTIAN BASIN	LAHAVE PLATFORM	43.8461	-60.80536	4856905	676414	43.846178	-60.804614	4857131	676469	20
CONQUEST K-09	JEANNE D'ARC BASIN		47.14297	-48.26252	5224470	707563	47.142872	-48.261422	5224680	707640	22
COOT K-56	WHALE BASIN		45.76153	-52.14226	5067969	411170	45.761522	-52.141289	5068185	411249	22
COPPER MINE HILL NO. 2	MARITIMES BASIN	MONCTON SUBBASIN	45.9545	-64.46581	5089819	386403	45.954	-64.466	5089981	386391	20
CORMORANT N-83	JEANNE D'ARC BASIN		46.04595	-48.96724	5100944	657275	46.045878	-48.966175	5101156	657352	22
CORNWALL O-30	SVERDRUP BASIN		77.496389	-94.649444	8602585	460139	77.497294	-94.650227	8602829	460125	22
CORNWALLIS CENTRAL DOME K-40	ARCTIC STABLE PLATFORM		75.161194	-94.720472	8342152	450821	75.161988	-94.721132	8342395	450807	22
CORNWALLIS RESOLUTE BAY L-41	ARCTIC STABLE PLATFORM		74.677778	-94.743889	8288255	448567	74.678557	-94.744606	8288498	448550	22
CORSAIR CANYON 975	GEORGES BANK BASIN		41.006737	-67.621842	4540208	615898	41.006805	-67.621266	4540428	615943	19
CORTE REAL P-85	HOPEDALE BASIN		56.08028	-58.20235	6215452	425167	56.080317	-58.201517	6215669	425222	21
COST B-2	BALTIMORE CANYON TROUGH		39.37555	-72.7344	4360693	695156	39.375667	-72.733917	4360916	695192	18
COST B-3	BALTIMORE CANYON TROUGH		38.91685	-72.7729	4309700	693089	38.917	-72.772444	4309925	693123	18
COST G-1	GEORGES BANK BASIN		40.9225	-68.30525	4530174	558500	40.9226	-68.304704	4530398	558544	19
COST G-2	GEORGES BANK BASIN		40.8365	-67.5083	4521466	625769	40.8366	-67.5077	4521690	625816	19
CREE E-35	SCOTIAN BASIN	SABLE SUBBASIN	43.73909	-60.59886	4845481	693359	43.739161	-60.598117	4845706	693413	20
CREE I-34	SCOTIAN BASIN	SABLE SUBBASIN	43.728182	-60.578513	4844317	695033	43.728256	-60.577767	4844543	695087	20
CRIMSON F-81	SCOTIAN BASIN	SABLE SUBBASIN	43.339625	-59.715904	4801898	279843	43.339698	-59.715126	4802119	279913	21
CROCKER I-53	SVERDRUP BASIN		80.045556	-98.922222	8886542	501501	80.046496	-98.923729	8886776	501472	21
CROW F-52	SCOTIAN BASIN	CANSO RIDGE	45.35672	-59.13967	5024588	332406	45.356764	-59.1389	5024809	332472	21
CUMBERLAND B-55	ORPHAN BASIN		48.40349	-50.13281	5361292	564184	48.403392	-50.131803	5361501	564257	22
CUPIDS A-33	FLEMISH PASS BASIN		49.035792	-46.07994	5431777	421065	49.035592	-46.078778	5431973	421152	23
DAUNTLESS D-35	SCOTIAN BASIN	ABENAKI SUBBASIN	44.73563	-57.34628	4953424	472582	44.735675	-57.345461	4953646	472647	21
DELTA-1	N/A		71.307125	-58.668928	7912304	440305	71.307125	-58.668928	7912474	440308	21
DEMASCOTA G-32	SCOTIAN BASIN	LAHAVE PLATFORM	43.69089	-60.83167	4839610	674751	43.690964	-60.830928	4839836	674805	20
DEPOT ISLAND C-44	SVERDRUP BASIN		76.387361	-114.29575	8479891	571027	76.388083	-114.29857	8480115	570946	20
DEPOT POINT L-24	SVERDRUP BASIN		79.394444	-85.739444	8814145	525899	79.395438	-85.739053	8814389	525903	16
DESBARATS B-73	SVERDRUP BASIN		76.703611	-105.954283	8513751	475500	76.704408	-105.956235	8513987	475453	16
DEVON E-45	ARCTIC STABLE PLATFORM		75.0725	-91.805556	8331888	534345	75.073275	-91.805993	8332128	534329	16
DOME BAY P-36	SVERDRUP BASIN		78.431222	-103.263197	8706934	538879	78.43236	-103.266278	8707197	538805	16
DOME BAY STRAT P-58	SVERDRUP BASIN		78.462944	-103.418108	8710375	535316	78.464078	-103.421133	8710638	535244	16
DOMINION J-14	SCOTIAN BASIN	LAHAVE PLATFORM	43.892591	-60.531726	4862689	698256	43.892662	-60.530976	4862915	698311	20
DOMINION J-14A	SCOTIAN BASIN	LAHAVE PLATFORM	43.892591	-60.531726	4862689	698256	43.892662	-60.530976	4862915	698311	20
DOMINION O-23	JEANNE D'ARC BASIN		47.38032	-48.30775	5250725	703223	47.380222	-48.306647	5250936	703300	22
DOVER A-43	SCOTIAN BASIN	ABENAKI SUBBASIN	44.36917	-60.10258	4916744	730862	44.369236	-60.101811	4916970	730916	20
DRAKE B-44	SVERDRUP BASIN		76.385806	-108.267614	8479751	571774	76.386581	-108.269747	8479983	571710	20
DRAKE D-73	SVERDRUP BASIN		76.368361	-108.491532	8477545	565978	76.369133	-108.493686	8477776	565915	20
DRAKE E-78	SVERDRUP BASIN		76.455361	-108.490337	8487246	565596	76.456138	-108.492506	8487478	565533	20
DRAKE F-16	SVERDRUP BASIN		76.420972	-108.594031	8483299	563044	76.421746	-108.596207	8483530	562981	20
DRAKE F-76	SVERDRUP BASIN		76.422889	-108.479944	8483638	566023	76.423664	-108.48211	8483869	565959	20
DRAKE POINT D-68	SVERDRUP BASIN		76.451361	-108.928532	8486355	554164	76.452131	-108.930756	8486586	554100	20
DRAKE POINT K-67	SVERDRUP BASIN		76.445806	-108.920275	8485743	554401	76.446575	-108.922503	8485974	554338	20
DRAKE POINT K-79	SVERDRUP BASIN		76.476639	-108.980191	8489127	552717	76.477409	-108.982433	8489359	552653	20
DRAKE POINT L-67	SVERDRUP BASIN		76.443583	-108.923055	8485493	554337	76.444352	-108.925281	8485724	554274	20
DRAKE POINT N-67	SVERDRUP BASIN		76.44625	-108.917165	8485796	554481	76.44702	-108.919392	8486027	554417	20
DUMBBELLS E-49	SVERDRUP BASIN		78.473389	-100.403445	8711439	468695	78.474386	-100.406149	8711689	468638	20
DUNDAS C-80	ARCTIC STABLE PLATFORM		74.650556	-113.383276	8285875	429595	74.651182	-113.385732	8286104	429529	20
DYER BAY L-49	ARCTIC FOLD BELT		76.143194	-121.810225	8451335	531807	76.143779	-121.813667	8451548	531713	20
EAGLE D-21	SCOTIAN BASIN	SABLE SUBBASIN	43.8352	-59.56923	4856562	293436	43.835269	-59.568447	4856783	293505	21
